,Participant,Day,Mood,Valence,Arousal,Activity,Screen,Calls,SMS,Entertainment,Finance,Communication,Games,Office,Social,Travel,Utilities,Weather
0,1.0,0.0,6.25,0.75,-0.25,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,6.333333333333333,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,23.0,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,1007.4560000000001,49.544,6280.889999999999,0.0,172.20600000000002,4508.500000000001,915.4450000000002,598.754,0.0
3,1.0,24.0,6.4,0.5,0.6,0.2368802192399581,6142.160999536513,3.0,1.0,93.324,21.076,4962.918,0.0,0.0,439.6319999999999,37.305,117.62100000000001,0.0
4,1.0,25.0,6.8,0.8,0.2,0.14274111580506368,6773.832001447676,0.0,0.0,94.346,43.403000000000006,5237.319,0.0,0.0,900.8389999999999,0.0,30.086,30.386
5,1.0,26.0,6.0,0.0,0.8,0.07896105611559796,15047.351000547405,10.0,0.0,976.971,34.106,9270.629,0.0,3.01,3223.626,419.805,178.732,0.0
6,1.0,27.0,6.75,0.5,0.5,0.09837411239050677,21475.35499906539,0.0,1.0,68.206,43.053999999999995,10276.751,0.0,0.0,1919.471,0.0,222.893,0.0
7,1.0,28.0,6.6,0.6,-0.2,0.10130832167007592,16423.801000356674,0.0,0.0,910.479,52.331,8988.752999999999,0.0,0.0,4592.059,0.0,33.365,0.0
8,1.0,29.0,7.0,0.8,0.2,0.15951064096909748,17442.14999938011,2.0,1.0,639.3389999999999,42.218999999999994,6936.512,0.0,182.45100000000002,935.3810000000001,47.314,179.02899999999997,0.0
9,1.0,30.0,6.4,0.6,-0.6,0.09569802163712014,4923.488999605181,5.0,0.0,1005.403,89.16600000000001,866.8330000000001,233.036,0.0,512.741,1133.0089999999998,301.717,0.0
10,1.0,31.0,8.0,1.0,0.2,0.06820281010186964,8322.6219997406,4.0,1.0,1627.429,0.0,2720.692,0.0,0.0,472.88800000000003,52.435,600.6370000000001,0.0
11,1.0,32.0,7.5,0.75,-0.5,0.049092970521542004,4523.2140009403265,0.0,0.0,1535.6770000000001,0.0,1298.505,0.0,0.0,167.685,0.0,38.296,0.0
