,Unnamed: 0,Unnamed: 0.1,Participant,Day,Mood,Valence,Arousal,Activity,Screen,Calls,SMS,Entertainment,Finance,Communication,Games,Office,Social,Travel,Utilities,Weather,Target,Mood (t-1),Mood (t-2),Mood (t-3),Mood (t-4),Mood (t-5),Mood (t-6),Mood (t-10),Mood (t-28),Valence (t-1),Valence (t-2),Valence (t-3),Arousal (t-1),Arousal (t-2),Arousal (t-3),Activity (t-1),Activity (t-2),Activity (t-3),Screen (t-1),Screen (t-2),Screen (t-3)
0,0,0,1.0,0.0,6.25,0.75,-0.25,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1.0,1.0,6.333333333333332,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2,2,2,1.0,23.0,6.2,0.2,0.2,0.13405010398938866,17978.907000064843,6.0,0.0,1007.456,49.544,6280.8899999999985,0.0,172.20600000000005,4508.500000000001,915.4450000000003,598.754,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,1.0,24.0,6.4,0.5,0.6,0.2368802192399581,6142.1609995365125,3.0,1.0,93.324,21.076,4962.918,0.0,0.0,439.63199999999983,37.305,117.62100000000001,0.0,6.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.13405010398938866,0.0,0.0,17978.907000064843,0.0,0.0
4,4,4,1.0,25.0,6.8,0.8,0.2,0.14274111580506368,6773.832001447676,0.0,0.0,94.346,43.40300000000001,5237.319,0.0,0.0,900.8389999999999,0.0,30.086,30.386,6.0,6.4,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.6,0.2,0.0,0.2368802192399581,0.13405010398938866,0.0,6142.1609995365125,17978.907000064843,0.0
5,5,5,1.0,26.0,6.0,0.0,0.8,0.07896105611559796,15047.351000547405,10.0,0.0,976.971,34.106,9270.629,0.0,3.01,3223.626,419.805,178.732,0.0,6.75,6.8,6.4,6.2,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.2,0.2,0.6,0.2,0.14274111580506368,0.2368802192399581,0.13405010398938866,6773.832001447676,6142.1609995365125,17978.907000064843
6,6,6,1.0,27.0,6.75,0.5,0.5,0.09837411239050677,21475.354999065392,0.0,1.0,68.206,43.053999999999995,10276.751,0.0,0.0,1919.471,0.0,222.893,0.0,6.6,6.0,6.8,6.4,6.2,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.2,0.6,0.07896105611559796,0.14274111580506368,0.2368802192399581,15047.351000547405,6773.832001447676,6142.1609995365125
7,7,7,1.0,28.0,6.6,0.6,-0.2,0.10130832167007592,16423.801000356674,0.0,0.0,910.479,52.331,8988.752999999999,0.0,0.0,4592.059,0.0,33.365,0.0,7.0,6.75,6.0,6.8,6.4,6.2,0.0,0.0,6.25,0.5,0.0,0.8,0.5,0.8,0.2,0.09837411239050677,0.07896105611559796,0.14274111580506368,21475.354999065392,15047.351000547405,6773.832001447676
8,8,8,1.0,29.0,7.0,0.8,0.2,0.15951064096909748,17442.149999380108,2.0,1.0,639.3389999999997,42.218999999999994,6936.512,0.0,182.451,935.3810000000001,47.31399999999999,179.02899999999997,0.0,6.4,6.6,6.75,6.0,6.8,6.4,6.2,0.0,6.333333333333332,0.6,0.5,0.0,-0.2,0.5,0.8,0.10130832167007592,0.09837411239050677,0.07896105611559796,16423.801000356674,21475.354999065392,15047.351000547405
9,9,9,1.0,30.0,6.4,0.6,-0.6,0.09569802163712014,4923.488999605182,5.0,0.0,1005.403,89.16600000000004,866.8330000000003,233.036,0.0,512.741,1133.0089999999998,301.717,0.0,8.0,7.0,6.6,6.75,6.0,6.8,6.4,0.0,0.0,0.8,0.6,0.5,0.2,-0.2,0.5,0.15951064096909748,0.10130832167007592,0.09837411239050677,17442.149999380108,16423.801000356674,21475.354999065392
